Event,Name,Gender,Occupation,Keyword,Text
"{'text': 'described', 'lemma': 'describe', 'start_token': 3, 'end_token': 3}",Geoffrey Zakarian,M,chefs,describe,"His style is described as ""modern"" with roots in French cuisine, or as he describes, ""dynamic American."" Zakarian owned two restaurants, Town and Country, both of which are in Manhattan. They have been rated with 3 stars by The New York Times.[7] His restaurant Town was located in the East Side of Midtown Manhattan in the Chambers Hotel and opened "
"{'text': 'trained', 'lemma': 'train', 'start_token': 10, 'end_token': 10}",Jessica Largey,F,chefs,train,"Jessica Largey was raised in Fillmore, California, and trained at the California School of Culinary Arts in Pasadena.[1] During her early career, Largey worked in several fine dining restaurants, such as Providence, Bastide and The Fat Duck. In 2013, Zagat named her as one of their ""30 under 30"" list for San Francisco, and was won rising star chefs"
"{'text': 'trained', 'lemma': 'train', 'start_token': 27, 'end_token': 27}",Matthew Lightner,M,chefs,train,"Lightner was born in Norfolk, Nebraska in 1980. Lightner graduated with high honors from Portland's Western Culinary Institute[4] in 2001.  He trained at Noma in Copenhagen, Denmark until 2009, before moving back to the U.S.[3][5][6]
"
"{'text': 'trained', 'lemma': 'train', 'start_token': 30, 'end_token': 30}",Ben Pollinger,M,chefs,train,"Pollinger was raised in New Jersey. He earned a degree in economics from Boston University and later graduated as class valedictorian from  Culinary Institute of America. He trained under chef Alain Ducasse at Le Louis XV in Monte Carlo.[2]
"
"{'text': 'included', 'lemma': 'include', 'start_token': 50, 'end_token': 50}",Adina Howard,F,chefs,include,"On September 25, 2009, a UK compilation Independent Soul Divas 2 was released on Lola Waxx Records. This compilation album featured ""What Do I Do"", a song recorded by Howard in 2008. The album version is different than the version that was originally included on Howard's MySpace page.
"
"{'text': 'included', 'lemma': 'include', 'start_token': 28, 'end_token': 28}",Susan Feniger,F,chefs,include,"In April 2009, Feniger opened her first solo project: Street, a multi-ethnic eatery of ""street food"" in Hollywood. Sample dishes included millet puffs, paani puri, Massaman chicken curry, dumplings, Egyptian-style baked fish and peanut butter cookies for dessert.[3][4]  Street closed in November 2013.
"
"{'text': 'included', 'lemma': 'include', 'start_token': 25, 'end_token': 25}",Tony Chachere,M,chefs,include,"In 1972, drawing upon a life of cooking for friends and family, Chachere published his first cookbook, Cajun Country Cookbook, which included the recipe that became his Original Creole Seasoning. Positive public response to the book led him to start Tony Chachere's Creole Foods.
"
"{'text': 'includes', 'lemma': 'include', 'start_token': 31, 'end_token': 31}",Timothy Harlan,M,chefs,include,"His second book, Hand on Heart, was published in September 2004 by ENDpapers publishing. Hand on Heart teaches readers how to eat a balanced diet. The book includes healthy versions of familiar recipes, as well as an 'Equipment Starter Kit' and a 'Healthy Pantry' list to inform readers which materials and ingredients they will need to make the reci"
"{'text': 'focusing', 'lemma': 'focus', 'start_token': 28, 'end_token': 28}",Aliza Green,F,chefs,focus,"Green was recruited by Judy Wicks at the White Dog Cafe in 1984.[8] There she developed a regional menu around farm-to-table cooking, focusing on food simplicity and fresh ingredients.[1][1][7][9]
"
"{'text': 'focuses', 'lemma': 'focus', 'start_token': 34, 'end_token': 34}",Nancy Silverton,F,chefs,focus,"Osteria Mozza later opened restaurants in Newport Beach, California, and Singapore.  The main Mozza location has since grown to include Mozza2Go and a third restaurant, Chi Spacca, which focuses on meats.[19]
"
"{'text': 'focused', 'lemma': 'focus', 'start_token': 17, 'end_token': 17}",Sam Kass,M,chefs,focus,"In 2007, Kass opened his own personal chef company in Chicago, Inevitable Table, which focused on healthful and nutritious food.[14] He then became the personal chef to the Obamas while Barack Obama was serving in the United States Senate.[17]
"
"{'text': 'focused', 'lemma': 'focus', 'start_token': 45, 'end_token': 45}",Johnny Iuzzini,M,chefs,focus,"In September 2010, Iuzzini was enlisted for two seasons as head judge on the American reality competition show Top Chef: Just Desserts on the Bravo cable television network.[19][20] This show, a spin-off of the highly successful Top Chef, focused exclusively on desserts. The pastry chef contestants battled weekly for the top prize in the familiar T"
"{'text': 'awarded', 'lemma': 'award', 'start_token': 64, 'end_token': 64}",Christine Hà,F,chefs,award,"In the nineteen episodes where she competed on the third season of MasterChef, Ha won seven times in both individual and team challenges; additionally, she placed three times in the top three group. However, she was also in the bottom group twice. On September 10, 2012, Hà was announced the winner of the competition and was awarded $250,000, the Ma"
"{'text': 'awarded', 'lemma': 'award', 'start_token': 5, 'end_token': 5}",Susan Feniger,F,chefs,award,"In 2013, Feniger was awarded the Elizabeth Burns Lifetime Achievement Award by the California Restaurant Association.[14]
"
"{'text': 'awarded', 'lemma': 'award', 'start_token': 20, 'end_token': 20}",Guy Fieri,M,chefs,award,"After winning the second season of The Next Food Network Star[25] on April 23, 2006, Fieri was awarded a six-episode commitment for his own cooking show on Food Network. Guy's Big Bite premiered on June 25, 2006 with the most recent episode airing on November 16, 2016.[26]
"
"{'text': 'awarded', 'lemma': 'award', 'start_token': 41, 'end_token': 41}",Andrew Carmellini,M,chefs,award,"Bar Primi is a casual pasta shop on the Bowery devoted to 'primi piatti,' the pasta course, highlighting an essential in Carmellini's range, fresh pasta traditionally prepared and cooked to order. Bar Primi was awarded two stars by The New York Times and added to the Michelin Guide's list of Bib Gourmands in 2014.
"
"{'text': 'explores', 'lemma': 'explore', 'start_token': 51, 'end_token': 51}",Mary Ann Esposito,F,chefs,explore,"Ciao Italia with Mary Ann Esposito, is a thirty-minute cooking show produced for PBS by Esposito's own Mary Esposito Productions, and taped at New Hampshire Public Television. The show features Esposito's recipes and cooking tips, and visits from guest chefs. She also explores the history of Italian cooking and food.[2] Through the show, Esposito s"
"{'text': 'explores', 'lemma': 'explore', 'start_token': 46, 'end_token': 46}",Lidia Bastianich,F,chefs,explore,"She also hosted a series of hour-long Public Television specials called Lidia Celebrates America, which premiered in 2011 with Lidia Celebrates America: Holiday Tables & Traditions. In the series, Bastianich celebrates the diversity of cultures across the United States and explores the American immigrant experience. The following special, Lidia Cel"
"{'text': 'explores', 'lemma': 'explore', 'start_token': 25, 'end_token': 25}",Sam Kass,M,chefs,explore,"Kass is currently represented by Washington Speakers Bureau for public engagements. The Bureau states that Kass ""offers fresh and informative insights as he explores the latest developments in health, wellness, and the future of consumption"", and that he ""is working on two books about the future and impact of food, one of which will be in the form "
"{'text': 'exploring', 'lemma': 'explore', 'start_token': 38, 'end_token': 38}",Brad Farmerie,M,chefs,explore,"Farmerie was raised in Pittsburgh, Pennsylvania. After graduating from North Allegheny Senior High School in 1991 he attended Penn State, pursuing a mechanical engineering degree. Two years later, he left college and began exploring various world cuisines. He attended Le Cordon Bleu in the UK, graduating in 1996. He trained under the guidance of ex"
"{'text': 'raised', 'lemma': 'raise', 'start_token': 61, 'end_token': 61}",Susan Feniger,F,chefs,raise,"Most recently, Feniger appeared on the second season of Top Chef Masters that aired in 2010. She was the last female chef in the competition, eliminated following a challenge to create a dish fit for the gods. Feniger's creation for Aphrodite was Kaya toast served with a soy-glazed egg and coconut jam.[10] She raised $32,500 for The Scleroderma Res"
"{'text': 'raised', 'lemma': 'raise', 'start_token': 41, 'end_token': 41}",Marcus Samuelsson,M,chefs,raise,"His restaurant, Red Rooster, opened in December 2010 in Harlem.[11] In March 2011, Red Rooster hosted a fundraising dinner for the Democratic National Committee. President Obama attended the dinner. The $30,800-per-plate event raised $1.5 million.[12]
"
"{'text': 'closed', 'lemma': 'close', 'start_token': 15, 'end_token': 15}",Iliana Regan,F,chefs,close,"Regan opened a second restaurant in 2017, Kitsune, with Japanese influences.[9] It closed in 2019.[1]
"
"{'text': 'closed', 'lemma': 'close', 'start_token': 55, 'end_token': 55}",Susan Feniger,F,chefs,close,"In April 2009, Feniger opened her first solo project: Street, a multi-ethnic eatery of ""street food"" in Hollywood. Sample dishes included millet puffs, paani puri, Massaman chicken curry, dumplings, Egyptian-style baked fish and peanut butter cookies for dessert.[3][4]  Street closed in November 2013.
"
"{'text': 'closed', 'lemma': 'close', 'start_token': 29, 'end_token': 29}",Paul Prudhomme,M,chefs,close,"During a summer residence in New York in 1985, Prudhomme's pop-up restaurant was reported to the Board of Health, which visited the restaurant and closed it before it opened, reporting 29 violations of the city's health code.[15] Prudhomme ignored the order and opened the restaurant anyway,[16] resulting in the Board of Health threatening Prudhomme"
"{'text': 'close', 'lemma': 'close', 'start_token': 45, 'end_token': 45}",Paul Prudhomme,M,chefs,close,"In 2004, he traveled to Guantanamo Bay Naval Base in Cuba, along with 4,000 pounds (1,800 kg) of food and seasonings to cook for the troops stationed there.[21] Following Hurricane Katrina in August 2005, Prudhomme was forced to close his restaurant. During the restoration efforts, he cooked for free at a relief center for the military and resident"
"{'text': 'closed', 'lemma': 'close', 'start_token': 4, 'end_token': 4}",Bobby Flay,M,chefs,close,"Bolo Bar & Restaurant closed its doors on December 31, 2007, to make way for a condominium.[18]
"
"{'text': 'closed', 'lemma': 'close', 'start_token': 7, 'end_token': 7}",Bobby Flay,M,chefs,close,"The original Mesa Grill in New York closed in September 2013 following a proposed rent increase by the landlord.[32]
"
"{'text': 'gained', 'lemma': 'gain', 'start_token': 23, 'end_token': 23}",Lidia Bastianich,F,chefs,gain,"The success of Buonavia led to the opening of the second restaurant in Queens, Villa Secondo. It was here that Bastianich gained the attention of local food critics and started to give live cooking demonstrations, a prelude to her future career as a television cooking show hostess.
"
"{'text': 'gained', 'lemma': 'gain', 'start_token': 1, 'end_token': 1}",Anne Thornton,F,chefs,gain,"Thornton gained the attention of Food Network after she presented her salted caramel banana pudding pie at the 2009 New York Wine & Food Festival.[5] Her own cooking show was then developed, Dessert First with Anne Thornton, which aired from 2010 to 2011.[6][7]
"
"{'text': 'gained', 'lemma': 'gain', 'start_token': 1, 'end_token': 1}",Ted Allen,M,chefs,gain,"Allen gained great visibility in 2003 when he became a cast member of the television makeover series Queer Eye for the Straight Guy, serving as its food and wine specialist. He continued to make television appearances as a gourmet, including as a frequent guest judge on Food Network's Iron Chef America. Allen hosted a six-part documentary, Uncorked"
"{'text': 'spent', 'lemma': 'spend', 'start_token': 1, 'end_token': 1}",Tanya Holland,F,chefs,spend,"She spent two summers cooking on Martha’s Vineyard Island at The Oyster Bar and L’Etoile, interrupted by a winter at Hamersley’s Bistro in Boston.[4] She received positive reviews as the Executive Chef of The Delux Café in Boston and The Victory Kitchen in Brooklyn.[5] In 2002, she returned to the front of the house as Creative Director at Le Théât"
"{'text': 'spent', 'lemma': 'spend', 'start_token': 33, 'end_token': 33}",Barbara Figueroa,F,chefs,spend,"Barbara Figueroa grew up in New York City, and decided to become a chef once she was in her 20s following the influence of her grandmother. As a child, Figueroa spent summers with her grandmother in Maine, and has memories of family cooking. Figueroa trained as a chef at the New York City Community College, and then moved to Los Angeles where she w"
"{'text': 'spent', 'lemma': 'spend', 'start_token': 29, 'end_token': 29}",Scott Peacock,M,chefs,spend,"Scott Peacock and Edna Lewis first met in the late 1980s,[3]  and together they wrote The Gift of Southern Cooking (Knopf, 2003). Lewis spent the last six years of her life living at Peacock’s Decatur, Georgia home.[5]
"
"{'text': 'spends', 'lemma': 'spend', 'start_token': 27, 'end_token': 27}",Chris Cosentino,M,chefs,spend,"In his spare time Cosentino cycles on rugged Northern California mountain-biking trails on a one-speed bicycle, participates in endurance rides, and spends time with his wife ""Meat Maven"" and young son.[19]
"
"{'text': 'launched', 'lemma': 'launch', 'start_token': 4, 'end_token': 4}",Ina Garten,F,chefs,launch,"In 2006, Garten launched her own line of packaged cake mixes, marinades, sauces, and preserves, branded as Barefoot Contessa Pantry, with her business partner Frank Newbold [32] and in conjunction with Stonewall Kitchen. These convenience foods are based on her most popular from-scratch recipes, such as coconut cupcakes, maple oatmeal scones, mango"
"{'text': 'launched', 'lemma': 'launch', 'start_token': 42, 'end_token': 42}",Lidia Bastianich,F,chefs,launch,"The fall of 2010 also marked the debut of Lidia's Kitchen, an exclusive line of commercial cookware, and serving ware for QVC. Along with her daughter Tanya, and son-in-law Corrado Manuali, Bastianich launched Nonna Foods as a platform to distribute an array of both existing and new LIDIA'S food products. Nonna Foods has 9 cuts of pasta and 9 varie"
"{'text': 'launch', 'lemma': 'launch', 'start_token': 15, 'end_token': 15}",Jack Bishop,M,chefs,launch,"In 1988, Jack Bishop started working at Cook's Magazine and collaborated on the launch of Cook's Illustrated in 1993. During his tenure with Cook's, he established tasting conventions later used at America's Test Kitchen. Jack edited The Best Recipe (1999), co-directed Cook's Country magazine in 2005, and became a cast member of America’s Test Kitc"
"{'text': 'launched', 'lemma': 'launch', 'start_token': 7, 'end_token': 7}",Paul Virant,M,chefs,launch,"Most recently, in 2017, Virant launched  Jar Sessions,[10] a locally produced, small-batch line of pickled and preserved products. He collaborated with Midwest farmers to create the Jar Sessions collection of farm-to-fork products.[11]
"
"{'text': 'finding', 'lemma': 'find', 'start_token': 11, 'end_token': 11}",Julia Child,F,chefs,find,"Child joined the Office of Strategic Services (OSS) after finding that she was too tall to enlist in the Women's Army Corps (WACs) or in the U.S. Navy's WAVES.[6] She began her OSS career as a typist at its headquarters in Washington but, because of her education and experience, soon was given a more responsible position as a top-secret researcher "
"{'text': 'found', 'lemma': 'find', 'start_token': 4, 'end_token': 4}",John La Puma,M,chefs,find,"La Puma would later found CHEF Clinic, the Cooking, Healthy Eating and Fitness, program to prevent and treat obesity, maintain weight loss and measurably promote wellness.  He is co-founder of ChefMDR, a health and media company, and founder of CHEF ClinicR, GlutenFreeQuiz for celiac disease screening and Do You Need More Nature? for nature deficit"
"{'text': 'found', 'lemma': 'find', 'start_token': 18, 'end_token': 18}",Eduardo Garcia (American chef),M,chefs,find,"Garcia was fitted with a simple prosthetic hook.[1] Although he is right-handed, Garcia quickly found that he could not do everything he could before, but continued to work as a chef.[5] He slowly re-learned basic tasks like chopping and dicing.[4]
"
"{'text': 'painted', 'lemma': 'paint', 'start_token': 53, 'end_token': 53}",Jennifer Wen Ma,F,artists,paint,"The search for paradise continued after Paradise Interrupted, witnessing experiments with materials to ""investigate some differences between the visual arts and theatrical arts.""[24] The Furthest Distance in a Paradise Interrupted was showcased in Qatar Museums' Gallery Al-Riwaq in 2016. Images of garden landscape were painted on plexiglass panels "
"{'text': 'painted', 'lemma': 'paint', 'start_token': 6, 'end_token': 6}",Anna Heyward Taylor,F,artists,paint,"As a mature artist, Taylor painted in both oils and watercolor, but she preferred printmaking, especially woodcuts and linocuts. Her style is pictorial with strong graphic lines showing the influence of both modernism and her travels in Asia. Her images were generally printed either in bold colors or in stark black-and-white. With flattened perspec"
"{'text': 'painted', 'lemma': 'paint', 'start_token': 56, 'end_token': 56}",Norman Carton,M,artists,paint,"During his lifetime, Carton was in more than 120 group exhibits and more than 20 solo shows and continued to receive many PAFA fellowship awards.[3]  He was popularly and critically regarded as possessing a painterly style of superlative action and a unique knowledge as a colorist, Carton ground his own pigments and painted with a brilliant palette"
"{'text': 'exhibited', 'lemma': 'exhibit', 'start_token': 2, 'end_token': 2}",China Marks,F,artists,exhibit,"Marks has exhibited extensively since the first solo show of her sculptures and drawings in 1984 at BACA Downtown, a nonprofit gallery and black box theater in downtown Brooklyn. In 1986, she created a room-sized, installation titled “Intimations of a Parallel World,” at New York’s 22 Wooster Gallery’s Two Two Raw Downstairs space.[4] Using cut-out"
"{'text': 'exhibiting', 'lemma': 'exhibit', 'start_token': 5, 'end_token': 5}",China Marks,F,artists,exhibit,"By 2003, Marks was exhibiting her sewn drawings, and later, her one-of-a-kind books. Solo shows of this new material were mounted at O’Kane Gallery at the University of Houston–Downtown, Houston, Texas; the Luise Ross Gallery in New York; the Marianna Kistler Beach Museum of Art, Manhattan, Kansas; Emerson Center for Arts and Culture in Bozeman, Mo"
"{'text': 'exhibited', 'lemma': 'exhibit', 'start_token': 55, 'end_token': 55}",Norman Carton,M,artists,exhibit,"In 1952, he had solo exhibitions at the Sorbonne, Galerie d’Art, and Gallery Rene Breteau and was part of many group shows in Paris salons including Les Surindependants, Salon d’Automne, and Realities Nouvelles. Here for the first time, Carton showed his non-objective paintings. He also exhibited at the Musee d’Art Juif where he won the Prix d’Art."
"{'text': 'exhibited', 'lemma': 'exhibit', 'start_token': 4, 'end_token': 4}",Robert Mars,M,artists,exhibit,"Mars' artwork is exhibited worldwide including museum collections in Munich, Tokyo, Amsterdam, London, Boston, New York City, Los Angeles, Laguna Beach, Paris, Aspen and Naples. He is represented by DTR Modern Galleries as well as other galleries worldwide. Mars' latest solo exhibition in 2016 was at the Evansville Museum of Arts in Indiana, where "
"{'text': 'include', 'lemma': 'include', 'start_token': 41, 'end_token': 41}",Faith Wilding,F,artists,include,"subRosa has performed, exhibited, lectured and published in the USA, Spain, Britain, Holland, Germany, Croatia, Macedonia, Mexico, Canada, Slovenia, and Singapore.[20] Recent Wilding/subRosa performances/exhibitions include: “The Interventionists”, MASSMoCA; “BioDifference” Biennial of Electronic Arts, Perth, Australia; Performance International, M"
"{'text': 'included', 'lemma': 'include', 'start_token': 43, 'end_token': 43}",Mary Shepard Greene,F,artists,include,"In the 1920s Mary returned to the Pratt Institute to study jewelry making. Her jewelry was exhibited in 1956 at the Museum of International Folk Art.[9] Her paintings are part of the collection of the Brooklyn Museum.[10] Shepard Greene was included in the 2018 exhibit Women in Paris 1850-1900.[11]
"
"{'text': 'included', 'lemma': 'include', 'start_token': 58, 'end_token': 58}",Peter Max,M,artists,include,"On July 4, 1976, Max began his Statue of Liberty series leading to his efforts with Chrysler CEO Lee Iacocca to help in the restoration of the statue.[11] Also in 1976, ""Peter Max Paints America"" was commissioned by the ASEA of Sweden. The book project commemorated the United States Bicentennial and included the following foreword: ""Peter Max Paint"
"{'text': 'included', 'lemma': 'include', 'start_token': 8, 'end_token': 8}",Mohan Samant,M,artists,include,"Exhibitions during Samant's first New York period included what is considered the first showing of the Progressive Artists' Group in America, Trends in Contemporary Painting from India: Gaitonde, Husain, Khanna, Kumar, Padamsee, Raza, Samant, Souza, curated by Thomas Keehn and held at the Graham Gallery, New York,[9] as well as A Collection of Cont"
